Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Transmission_Type,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Manual,PREMIUM GASOLINE,10.8,7.5,9.3,214
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Automatic,PREMIUM GASOLINE,11.5,8.1,10.0,230
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Automatic,PREMIUM GASOLINE,11.5,8.1,10.0,230
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Manual,PREMIUM GASOLINE,10.8,7.5,9.3,214
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Automatic,PREMIUM GASOLINE,12.0,8.1,10.2,235
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Automatic,PREMIUM GASOLINE,12.8,8.6,10.9,251
AUDI,A6 QUATTRO TDI (MODIFIED),MID-SIZE,3.0,6,AS8,Automatic,DIESEL,9.8,6.2,8.1,217
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Automatic,PREMIUM GASOLINE,13.3,8.5,11.2,262
AUDI,A7 QUATTRO TDI (MODIFIED),MID-SIZE,3.0,6,AS8,Automatic,DIESEL,9.8,6.2,8.1,217
AUDI,A8,MID-SIZE,3.0,6,AS8,Automatic,PREMIUM GASOLINE,13.1,8.8,11.2,258
AUDI,A8,MID-SIZE,4.0,8,AS8,Automatic,PREMIUM GASOLINE,13.7,8.3,11.3,265
AUDI,A8 TDI (MODIFIED),MID-SIZE,3.0,6,AS8,Automatic,DIESEL,9.8,6.5,8.4,224
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Automatic,PREMIUM GASOLINE,13.1,8.8,11.2,258
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Automatic,PREMIUM GASOLINE,14.7,9.7,12.5,288
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Automatic,PREMIUM GASOLINE,18.7,11.5,15.5,363
AUDI,A8L TDI (MODIFIED),FULL-SIZE,3.0,6,AS8,Automatic,DIESEL,9.8,6.5,8.4,224
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Automatic,PREMIUM GASOLINE,11.8,8.8,10.5,242
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Automatic,PREMIUM GASOLINE,12.0,8.5,10.4,239
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Automatic,PREMIUM GASOLINE,12.9,9.2,11.2,258
AUDI,Q5 TDI (MODIFIED),SUV - SMALL,3.0,6,AS8,Automatic,DIESEL,10.2,7.8,9.0,244
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Automatic,PREMIUM GASOLINE,9.9,8.3,9.2,212
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Automatic,PREMIUM GASOLINE,15.1,10.9,13.2,304
AUDI,Q7 TDI (MODIFIED),SUV - STANDARD,3.0,6,AS8,Automatic,DIESEL,12.4,8.7,10.7,290
AUDI,R8,TWO-SEATER,4.2,8,A7,Automatic,PREMIUM GASOLINE,17.6,11.0,14.6,336
AUDI,R8,TWO-SEATER,4.2,8,M6,Manual,PREMIUM GASOLINE,21.2,13.4,17.7,407
AUDI,R8,TWO-SEATER,5.2,10,A7,Automatic,PREMIUM GASOLINE,18.2,10.6,14.8,347
AUDI,R8,TWO-SEATER,5.2,10,M6,Manual,PREMIUM GASOLINE,21.1,13.8,17.8,409
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Automatic,PREMIUM GASOLINE,17.6,11.0,14.6,336
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Manual,PREMIUM GASOLINE,21.2,13.4,17.7,407
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Automatic,PREMIUM GASOLINE,18.2,10.6,14.8,347
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Manual,PREMIUM GASOLINE,21.1,13.8,17.8,409
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Automatic,PREMIUM GASOLINE,15.3,10.9,13.3,306
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Automatic,PREMIUM GASOLINE,15.2,11.3,13.4,308
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Automatic,PREMIUM GASOLINE,15.5,8.8,12.5,293
AUDI,S4,COMPACT,3.0,6,A7,Automatic,PREMIUM GASOLINE,13.2,9.2,11.4,262
AUDI,S4,COMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,14.6,9.8,12.4,285
AUDI,S5,SUBCOMPACT,3.0,6,A7,Automatic,PREMIUM GASOLINE,13.2,9.2,11.4,262
AUDI,S5,SUBCOMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,14.6,9.8,12.4,285
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Automatic,PREMIUM GASOLINE,13.3,9.5,11.6,267
AUDI,S6,MID-SIZE,4.0,8,A7,Automatic,PREMIUM GASOLINE,14.2,9.7,12.2,281
AUDI,S7,MID-SIZE,4.0,8,A7,Automatic,PREMIUM GASOLINE,14.2,9.7,12.2,281
AUDI,S8,MID-SIZE,4.0,8,AS8,Automatic,PREMIUM GASOLINE,15.8,9.2,12.8,300
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Automatic,PREMIUM GASOLINE,14.9,10.1,12.7,292
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Automatic,PREMIUM GASOLINE,10.4,7.6,9.1,209
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Automatic,PREMIUM GASOLINE,10.4,7.6,9.1,209
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Automatic,PREMIUM GASOLINE,11.5,8.8,10.3,237
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Automatic,PREMIUM GASOLINE,11.5,8.8,10.3,237
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Automatic,PREMIUM GASOLINE,16.3,9.8,13.4,314
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Automatic,PREMIUM GASOLINE,18.8,11.5,15.5,356
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Automatic,PREMIUM GASOLINE,17.4,10.2,14.2,332
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Automatic,PREMIUM GASOLINE,20.0,12.2,16.5,380
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Automatic,PREMIUM GASOLINE,20.0,12.2,16.5,380
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Automatic,PREMIUM GASOLINE,20.3,11.9,16.5,388
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Automatic,PREMIUM GASOLINE,22.3,14.9,19.0,437
BMW,320I,COMPACT,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.0,6.5,8.4,193
BMW,320I,COMPACT,2.0,4,M6,Manual,PREMIUM GASOLINE,10.4,6.7,8.7,200
BMW,320I XDRIVE,COMPACT,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.2,7.0,8.8,202
BMW,328D XDRIVE,COMPACT,2.0,4,A8,Automatic,DIESEL,7.6,5.5,6.7,181
BMW,328D XDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Automatic,DIESEL,7.6,5.5,6.7,181
BMW,328I,COMPACT,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.0,6.5,8.4,193
BMW,328I,COMPACT,2.0,4,M6,Manual,PREMIUM GASOLINE,10.4,6.7,8.7,200
BMW,328I XDRIVE,COMPACT,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.6,7.2,9.1,209
BMW,328I XDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.6,7.2,9.1,209
BMW,328I XDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.6,7.2,9.1,209
BMW,335I,COMPACT,3.0,6,A8,Automatic,PREMIUM GASOLINE,11.4,7.3,9.6,221
BMW,335I,COMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,11.8,7.9,10.0,230
BMW,335I XDRIVE,COMPACT,3.0,6,A8,Automatic,PREMIUM GASOLINE,11.7,7.8,9.9,228
BMW,335I XDRIVE,COMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,11.9,8.3,10.3,237
BMW,335I XDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Automatic,PREMIUM GASOLINE,11.9,8.0,10.1,232
BMW,428I COUPE,COMPACT,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.0,6.5,8.4,193
BMW,428I COUPE,COMPACT,2.0,4,M6,Manual,PREMIUM GASOLINE,10.4,6.7,8.7,200
BMW,428I XDRIVE COUPE,COMPACT,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.6,7.2,9.1,209
BMW,435I COUPE,COMPACT,3.0,6,A8,Automatic,PREMIUM GASOLINE,11.4,7.3,9.6,221
BMW,435I COUPE,COMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,11.8,7.9,10.0,230
BMW,435I XDRIVE COUPE,COMPACT,3.0,6,A8,Automatic,PREMIUM GASOLINE,11.7,7.8,9.9,228
BMW,435I XDRIVE COUPE,COMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,11.9,8.3,10.3,237
BMW,528I,MID-SIZE,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.2,7.0,8.8,202
BMW,528I XDRIVE,MID-SIZE,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.6,7.2,9.1,209
BMW,535D XDRIVE,MID-SIZE,3.0,6,A8,Automatic,DIESEL,9.2,6.4,7.9,213
BMW,535I XDRIVE,MID-SIZE,3.0,6,A8,Automatic,PREMIUM GASOLINE,11.9,8.0,10.1,232
BMW,535I XDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Automatic,PREMIUM GASOLINE,12.5,8.6,10.7,246
BMW,550I XDRIVE,MID-SIZE,4.4,8,A8,Automatic,PREMIUM GASOLINE,14.4,9.6,12.2,281
BMW,550I XDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Automatic,PREMIUM GASOLINE,15.0,9.8,12.7,292
BMW,640I XDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Automatic,PREMIUM GASOLINE,11.9,8.0,10.1,232
BMW,650I XDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Automatic,PREMIUM GASOLINE,15.0,9.8,12.7,292
BMW,650I XDRIVE COUPE,COMPACT,4.4,8,A8,Automatic,PREMIUM GASOLINE,14.4,9.6,12.2,281
BMW,650I XDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Automatic,PREMIUM GASOLINE,15.0,9.8,12.7,292
BMW,740LI XDRIVE,FULL-SIZE,3.0,6,A8,Automatic,PREMIUM GASOLINE,12.5,8.6,10.7,246
BMW,750I XDRIVE,FULL-SIZE,4.4,8,A8,Automatic,PREMIUM GASOLINE,15.0,9.8,12.7,292
BMW,750LI XDRIVE,FULL-SIZE,4.4,8,A8,Automatic,PREMIUM GASOLINE,15.0,9.8,12.7,292
BMW,760LI,FULL-SIZE,6.0,12,A8,Automatic,PREMIUM GASOLINE,18.7,11.5,15.5,356
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Automatic,PREMIUM GASOLINE,9.2,7.1,8.3,191
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Automatic,PREMIUM GASOLINE,10.5,7.9,9.3,214
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Automatic,PREMIUM GASOLINE,10.5,7.6,9.2,212
BMW,ALPINA B7 XDRIVE LWB,FULL-SIZE,4.4,8,A8,Automatic,PREMIUM GASOLINE,15.0,9.8,12.7,292
BMW,ALPINA B7 XDRIVE SWB,FULL-SIZE,4.4,8,A8,Automatic,PREMIUM GASOLINE,15.0,9.8,12.7,292
BMW,M5,MID-SIZE,4.4,8,AM7,Automatic,PREMIUM GASOLINE,17.3,11.5,14.7,338
BMW,M5,MID-SIZE,4.4,8,M6,Manual,PREMIUM GASOLINE,16.2,10.9,13.8,317
BMW,M6,COMPACT,4.4,8,AM7,Automatic,PREMIUM GASOLINE,17.3,11.5,14.7,338
BMW,M6,COMPACT,4.4,8,M6,Manual,PREMIUM GASOLINE,16.2,10.9,13.8,317
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Automatic,PREMIUM GASOLINE,17.3,11.5,14.7,338
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Manual,PREMIUM GASOLINE,16.2,10.9,13.8,317
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Automatic,PREMIUM GASOLINE,17.3,11.5,14.7,338
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Manual,PREMIUM GASOLINE,16.2,10.9,13.8,317
BMW,X1 XDRIVE28I,SUV - SMALL,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.6,7.2,9.1,209
BMW,X1 XDRIVE35I,SUV - SMALL,3.0,6,A6,Automatic,PREMIUM GASOLINE,13.2,8.9,11.3,260
BMW,X3 XDRIVE28I,SUV - SMALL,2.0,4,A8,Automatic,PREMIUM GASOLINE,11.2,8.5,10.0,230
BMW,X3 XDRIVE35I,SUV - SMALL,3.0,6,A8,Automatic,PREMIUM GASOLINE,12.6,9.1,11.0,253
BMW,X5 XDRIVE35I,SUV - STANDARD,3.0,6,A8,Automatic,PREMIUM GASOLINE,12.9,8.8,11.1,255
BMW,X5 XDRIVE50I,SUV - STANDARD,4.4,8,A8,Automatic,PREMIUM GASOLINE,16.3,10.9,13.9,320
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Automatic,PREMIUM GASOLINE,18.1,13.7,16.1,370
BMW,X6 XDRIVE35I,SUV - STANDARD,3.0,6,A8,Automatic,PREMIUM GASOLINE,13.6,9.8,11.9,274
BMW,X6 XDRIVE50I,SUV - STANDARD,4.4,8,A8,Automatic,PREMIUM GASOLINE,16.4,11.3,14.1,324
BMW,Z4 SDRIVE28I,TWO-SEATER,2.0,4,A8,Automatic,PREMIUM GASOLINE,10.8,7.1,9.1,209
BMW,Z4 SDRIVE28I,TWO-SEATER,2.0,4,M6,Manual,PREMIUM GASOLINE,10.4,6.7,8.7,200
BMW,Z4 SDRIVE35I,TWO-SEATER,3.0,6,AM7,Automatic,PREMIUM GASOLINE,13.7,10.1,12.1,278
BMW,Z4 SDRIVE35I,TWO-SEATER,3.0,6,M6,Manual,PREMIUM GASOLINE,12.7,9.0,11.0,253
BMW,Z4 SDRIVE35IS,TWO-SEATER,3.0,6,AM7,Automatic,PREMIUM GASOLINE,13.7,10.1,12.1,278
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,Automatic,REGULAR GASOLINE,14.3,9.9,12.3,283
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,Automatic,REGULAR GASOLINE,14.6,10.2,12.6,290
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,Automatic,REGULAR GASOLINE,9.5,7.2,8.5,196
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,Automatic,REGULAR GASOLINE,10.2,8.0,9.2,212
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.7,8.7,11.5,264
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Automatic,ETHANOL,18.4,12.2,15.6,250
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.7,8.9,11.5,264
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,Automatic,ETHANOL,19.4,13.0,16.5,264
BUICK,LACROSSE EASSIST,MID-SIZE,2.4,4,AS6,Automatic,REGULAR GASOLINE,9.6,6.5,8.2,189
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.5,7.9,9.9,228
BUICK,REGAL,MID-SIZE,2.0,4,M6,Manual,PREMIUM GASOLINE,11.6,7.5,9.8,225
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Automatic,PREMIUM GASOLINE,12.3,8.7,10.7,246
BUICK,REGAL EASSIST,MID-SIZE,2.4,4,AS6,Automatic,REGULAR GASOLINE,9.6,6.5,8.2,189
BUICK,VERANO,COMPACT,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.5,7.9,9.9,228
BUICK,VERANO,COMPACT,2.0,4,M6,Manual,PREMIUM GASOLINE,11.6,7.5,9.8,225
BUICK,VERANO,COMPACT,2.4,4,AS6,Automatic,REGULAR GASOLINE,11.3,7.4,9.5,218
CADILLAC,ATS,COMPACT,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.3,7.5,9.6,221
CADILLAC,ATS,COMPACT,2.0,4,M6,Manual,PREMIUM GASOLINE,12.1,7.9,10.2,235
CADILLAC,ATS,COMPACT,2.5,4,AS6,Automatic,REGULAR GASOLINE,10.5,7.2,9.0,207
CADILLAC,ATS,COMPACT,3.6,6,AS6,Automatic,REGULAR GASOLINE,12.8,8.5,10.9,251
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.8,8.1,10.1,232
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.1,9.0,11.3,260
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.2,8.7,11.2,258
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.3,9.0,11.4,262
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.9,7.9,10.1,232
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,Automatic,REGULAR GASOLINE,12.9,8.2,10.8,248
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,Automatic,PREMIUM GASOLINE,12.6,8.5,10.8,248
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.1,9.0,11.3,260
CADILLAC,CTS SEDAN VSPORT,MID-SIZE,3.6,6,AS8,Automatic,PREMIUM GASOLINE,15.1,9.9,12.8,294
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,Automatic,REGULAR GASOLINE,12.7,8.9,11.0,253
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.3,8.9,11.3,260
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,Automatic,REGULAR GASOLINE,12.8,9.1,11.1,255
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.3,9.0,11.4,262
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Automatic,PREMIUM GASOLINE,19.7,12.9,16.6,382
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Manual,PREMIUM GASOLINE,16.7,12.5,14.8,340
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Automatic,PREMIUM GASOLINE,19.7,12.9,16.6,382
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Manual,PREMIUM GASOLINE,16.7,12.5,14.8,340
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Automatic,PREMIUM GASOLINE,19.7,12.9,16.6,382
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Manual,PREMIUM GASOLINE,16.7,12.5,14.8,340
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Automatic,PREMIUM GASOLINE,17.0,11.8,14.7,338
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Automatic,ETHANOL,23.3,16.1,20.1,322
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Automatic,PREMIUM GASOLINE,18.8,13.4,16.4,377
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Automatic,ETHANOL,25.7,17.8,22.1,354
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,Automatic,REGULAR GASOLINE,14.3,9.8,12.3,283
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,Automatic,REGULAR GASOLINE,14.8,10.4,12.8,294
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.6,8.6,11.4,262
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,14.0,9.1,11.8,271
CADILLAC,XTS VSPORT AWD,FULL-SIZE,3.6,6,AS6,Automatic,PREMIUM GASOLINE,14.8,9.8,12.6,290
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.2,8.7,11.2,258
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,Manual,REGULAR GASOLINE,14.2,8.6,11.7,269
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,Automatic,REGULAR GASOLINE,12.7,7.9,10.5,242
CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Automatic,PREMIUM GASOLINE,15.3,9.8,12.8,294
CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Manual,PREMIUM GASOLINE,15.0,9.9,12.7,292
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Automatic,PREMIUM GASOLINE,19.7,12.9,16.6,382
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Manual,PREMIUM GASOLINE,16.7,12.5,14.8,340
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Automatic,PREMIUM GASOLINE,14.9,8.5,12.0,276
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Manual,PREMIUM GASOLINE,13.7,8.2,11.2,258
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,Automatic,REGULAR GASOLINE,9.1,6.3,7.8,179
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,Manual,REGULAR GASOLINE,9.1,6.3,7.8,179
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,Automatic,REGULAR GASOLINE,10.5,6.7,8.8,202
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,Manual,REGULAR GASOLINE,9.5,6.5,8.2,189
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,Automatic,DIESEL,8.7,5.1,7.1,192
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,Automatic,REGULAR GASOLINE,9.1,6.0,7.7,177
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,Manual,REGULAR GASOLINE,8.4,5.6,7.1,163
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,Automatic,REGULAR GASOLINE,10.5,7.3,9.1,209
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,Automatic,REGULAR GASOLINE,13.9,9.6,12.0,276
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,Automatic,ETHANOL,18.8,13.1,16.2,259
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,Automatic,REGULAR GASOLINE,11.5,8.2,10.0,230
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,Automatic,REGULAR GASOLINE,14.8,9.9,12.6,290
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,Automatic,ETHANOL,19.8,13.6,17.0,272
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,Automatic,REGULAR GASOLINE,17.1,12.7,15.1,347
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,Automatic,REGULAR GASOLINE,18.0,13.4,15.9,366
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,Automatic,ETHANOL,23.5,17.7,20.9,334
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,Automatic,REGULAR GASOLINE,18.3,14.2,16.5,380
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,Automatic,ETHANOL,23.7,18.8,21.5,344
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,Automatic,REGULAR GASOLINE,18.6,13.9,16.5,380
